xAccl,yAccl,zAccl,newPosition,time
29,4,1026,-21,13999244
-15,-6,1011,-21,14074263
-19,2,1029,-21,14099267
-11,-5,1006,-21,14124271
-15,-10,1018,-21,14149278
0,6,1040,-21,14174282
-4,-11,1007,-21,14199286
0,-10,1000,-21,14224294
32,6,1075,-21,14249298
-23,-27,1036,-21,14274305
-61,-58,842,-21,14299309
13,19,1137,-21,14324317
15,-36,961,-21,14349321
8,4,1059,-21,14374321
13,0,1029,-21,14399325
14,-23,1001,-21,14424332
8,-17,1019,-21,14449336
17,-46,1020,-21,14474340
22,-27,1010,-21,14499344
7,-5,1013,-21,14524351
13,-1,1040,-21,14549355
13,-15,1006,-21,14574359
7,-18,1034,-21,14599363
-5,-20,999,-21,14624367
-2,-15,1043,-21,14649371
7,-37,900,-21,14674378
-25,37,1127,-21,14699386
10,14,991,-21,14724394
-25,-21,984,-21,14749394
8,60,1067,-21,14774398
-5,-5,1005,-21,14799406
-7,-3,1038,-21,14824409
2,10,1023,-21,14849417
-12,-3,1019,-21,14874421
-18,30,1035,-21,14899425
-3,2,1029,-21,14924433
-4,-15,998,-21,14949437
0,-16,1038,-21,14974440
-3,-14,994,-21,14999448
-2,-7,1015,-21,15024452
-1,-16,1003,-21,15049455
-8,-5,1022,-21,15074463
-2,-2,1011,-21,15099467
-1,-1,1026,-21,15124471
4,-8,1014,-21,15149471
-1,-5,1025,-21,15174475
-2,0,1011,-21,15199479
-3,-2,1021,-21,15224482
4,-12,1007,-21,15249486
4,-7,1015,-21,15274494
-1,-12,1014,-21,15299494
-6,-7,1014,-21,15324498
4,-8,1004,-21,15349502
-3,-8,1001,-21,15374506
-1,-5,1009,-21,15399509
-3,-9,1016,-21,15424513
0,0,1024,-21,15449517
-3,-4,1013,-21,15474526
-1,-9,1009,-21,15499537
4,-7,1014,-21,15524539
-7,-6,1017,-21,15549550
-2,-6,1013,-21,15574558
0,-6,1014,-21,15599565
-1,-8,1010,-21,15624573
-5,-8,1009,-21,15649581
-3,-5,1016,-21,15674585
-1,-3,1017,-21,15699589
-1,-3,1019,-21,15724596
0,-2,1014,-21,15749604
-4,-6,1016,-21,15774611
-1,1,1026,-21,15799619
-3,-6,1010,-21,15824629
-3,-5,1016,-21,15849630
-3,4,1026,-21,15874639
1,21,1052,-21,15899642
-609,188,1015,-21,15924646
-11,66,992,-21,15949654
30,-44,978,-21,15974658
4,17,1121,-21,15999658
0,-25,905,-21,16024665
-6,-9,1047,-21,16049673
7,-24,981,-21,16074677
674,-314,920,29,16278759
2047,-394,34,32,16303768
337,-113,1472,32,16328774
126,-168,673,32,16353778
61,-75,1175,32,16378784
165,-31,844,32,16403784
-297,-172,939,32,16428792
-75,-7,987,32,16453796
232,-205,915,32,16478803
-148,-15,1051,32,16503809
-165,10,966,32,16528816
-201,20,1049,32,16553824
-211,1,968,32,16578832
-264,33,1004,32,16603839
-300,24,958,32,16628847
-227,-12,990,32,16653855
-266,-2,871,32,16678855
-327,-19,963,32,16703862
-333,15,963,32,16728870
-311,1,972,32,16753878
-295,-2,968,32,16778878
-282,5,987,32,16803886
-702,27,980,32,16828894
-229,-5,991,32,16853901
-152,4,1000,32,16878909
-93,-5,1012,32,16903916
-33,-9,1011,32,16928921
26,-42,992,32,16953928
60,-19,1011,32,16978932
66,-23,986,32,17003939
39,-43,1011,32,17028951
180,-54,997,32,17053959
182,-64,977,32,17078959
230,-49,976,32,17103966
254,-59,976,32,17128973
277,-63,971,32,17153980
267,-55,965,32,17178986
267,-52,976,32,17203992
320,-50,960,32,17228995
238,-38,988,32,17254001
224,-52,984,32,17279005
212,-50,1002,32,17304009
158,-42,992,32,17329013
143,-54,1018,32,17354016
105,-50,983,32,17379024
57,-27,1012,32,17404032
34,-47,1015,32,17429036
10,-51,983,32,17454040
-82,-27,991,32,17479047
-112,-8,1029,32,17504051
-142,-17,994,32,17529055
-199,-9,988,32,17554059
-326,40,1006,32,17579067
-253,11,1001,32,17604070
-262,-10,985,32,17629074
-283,12,989,32,17654078
-268,6,975,32,17679082
-255,6,979,32,17704087
-307,-8,977,32,17729093
-333,1,972,32,17754093
-401,60,995,32,17779098
-242,4,989,32,17804101
-178,-15,993,32,17829109
-148,-4,1002,32,17854113
-107,-5,1014,32,17879117
-73,1,1020,32,17904121
-20,-16,1021,32,17929124
-5,-19,1027,32,17954132
51,-31,1006,32,17979136
38,-23,1006,32,18004140
88,-39,998,32,18029144
165,-49,996,32,18054147
140,-35,1002,32,18079152
70,-16,999,-6,18233759
-2048,215,1042,-12,18258764
148,124,982,-12,18283768
20,-56,1067,-12,18308770
-16,22,1010,-12,18333775
-1,2,1033,-12,18358780
19,-18,1029,-12,18383785
44,-20,986,-12,18408792
-9,-66,1014,-12,18433796
34,-27,994,-12,18458803
14,-16,999,-12,18483805
55,-29,1000,-12,18508813
19,-43,977,-12,18533816
24,-23,997,-12,18558824
36,-14,1033,-12,18583832
31,-14,1010,-12,18608839
40,2,1028,-12,18633847
