time,original,ema,median,kalman,butterworth
346326,-4,-4.0,-4.0,-3.9992001759612887,-4.009198133613168
371242,-11,-6.800000000000001,-11.0,-7.66596834109224,-6.349888574560481
396244,-11,-8.48,-11.0,-8.946726683533107,-7.353771597534035
421252,-4,-6.688000000000001,-4.0,-7.333043560234403,-7.483587447655822
446256,-13,-9.212800000000001,-13.0,-9.026568826996925,-7.375362743662066
471259,-3,-6.727680000000001,-3.0,-7.308255197755421,-6.863973677757102
496264,-6,-6.4366080000000006,-6.0,-6.944504682448429,-6.63559600226516
521267,-4,-5.4619648000000005,-4.0,-6.136729986402769,-7.276384490879437
546271,-12,-8.077178880000002,-12.0,-7.733733986861244,-8.275047693376536
571275,-10,-8.846307328000002,-10.0,-8.348653110522717,-8.709068683924798
596283,-6,-7.707784396800001,-6.0,-7.71267540300243,-8.778509596217319
621290,-12,-9.424670638080002,-10.0,-8.872355844891619,-8.976329608338347
646294,-12,-10.454802382848001,-10.0,-9.717865081604206,-8.471813198398763
671298,-2,-7.072881429708801,-6.0,-7.632104183402903,-7.493353707725689
696306,-6,-6.64372885782528,-6.0,-7.191098683002594,-7.433731334743513
721310,-11,-8.386237314695169,-6.0,-8.220199484107045,-7.919750351706668
746314,-9,-8.631742388817102,-9.0,-8.430878609901775,-7.792590308721799
771317,-5,-7.179045433290261,-9.0,-7.503979257993359,-7.339349510855655
796321,-9,-7.907427259974156,-9.0,-7.908144636074218,-7.042531993632565
821325,-4,-6.344456355984494,-9.0,-6.852326623121866,-6.880557205434428
846329,-8,-7.006673813590696,-8.0,-7.1623790388531825,-7.0092379907730304
871333,-7,-7.004004288154418,-8.0,-7.118511233063147,-7.257414622390542
896337,-6,-6.602402572892651,-7.0,-6.8163381093423006,-7.6242466179668895
921341,-9,-7.56144154373559,-7.0,-7.406268314408866,-8.278825319488078
946344,-12,-9.336864926241354,-8.0,-8.64729389152026,-8.600978289326534
971348,-9,-9.202118955744812,-9.0,-8.7425796551375,-8.047776509877465
996352,-4,-7.121271373446888,-8.0,-7.461342176047354,-7.286122147925937
1021360,-8,-7.472762824068132,-8.0,-7.606863940821471,-7.002068667486881
1046364,-6,-6.883657694440879,-8.0,-7.172759653563029,-6.949443922213405
1071367,-7,-6.930194616664528,-7.0,-7.1260875593042075,-6.988752925535223
1096375,-2,-4.958116769998716,-7.0,-5.741243151686535,-7.714303132187382
1121379,-15,-8.97487006199923,-7.0,-8.242553838929261,-8.999586809952973
1146383,-10,-9.384922037199537,-8.0,-8.717338837430265,-9.593254481214075
1171386,-7,-8.430953222319722,-8.0,-8.253389082059467,-9.768957475292538
1196390,-14,-10.658571933391833,-8.0,-9.805871719731895,-10.068636515579684
1221394,-8,-9.5951431600351,-8.0,-9.318004256638721,-10.054240809524472
1246398,-12,-10.55708589602106,-8.0,-10.042562067051033,-9.83437224224383
1271402,-9,-9.934251537612637,-8.0,-9.760907448348547,-9.422919908625644
1296406,-10,-9.960550922567581,-9.0,-9.825499786392715,-8.745462296676749
1321410,-3,-7.176330553540549,-9.0,-7.981548619920167,-8.411625801928977
1346414,-17,-11.10579833212433,-10.0,-10.417939281746303,-8.15229077945547
1371418,0,-6.663478999274598,-10.0,-7.6034682698592935,-7.386966291911776
1396421,-4,-5.598087399564759,-9.0,-6.629968932470456,-7.60667719505301
1421429,-15,-9.358852439738856,-9.0,-8.891184818927133,-8.68222412758179
1446437,-8,-8.815311463843313,-9.0,-8.650425704167983,-8.919866609562078
1471441,-10,-9.289186878305987,-9.0,-9.015021583569526,-8.544383620695129
1496444,-5,-7.573512126983592,-9.0,-7.930338561969142,-8.30459686902212
1521452,-12,-9.344107276190154,-9.0,-9.029782879667852,-8.20521415507973
1546456,-6,-8.006464365714093,-8.0,-8.211268214103152,-7.854712207473369
1571460,-7,-7.603878619428455,-7.0,-7.8840365818204985,-7.552477390045155
1596464,-7,-7.362327171657073,-7.0,-7.645208607719911,-7.62014481787503
1621467,-6,-6.817396302994244,-7.0,-7.200745282519675,-8.088905816470202
1646472,-11,-8.490437781796548,-7.0,-8.227137544929635,-8.82912316568681
1671475,-9,-8.69426266907793,-8.0,-8.435931138089263,-9.375337184814867
1696479,-12,-10.016557601446758,-8.0,-9.398786480672745,-9.518375060671772
1721483,-11,-10.409934560868056,-9.0,-9.831364259451858,-8.97845738103699
1746487,-6,-8.645960736520834,-7.0,-8.796297404817942,-7.967659259076072
1771490,-7,-7.9875764419125,-7.0,-8.311016502537464,-7.17242884293951
1796498,-4,-6.3925458651475005,-7.0,-7.146368614895806,-6.9176299290341206
1821506,-8,-7.0355275190885,-7.0,-7.376982436230298,-7.201050456247074
1846510,-9,-7.8213165114531,-8.0,-7.815450713059462,-7.4619076734364
1871514,-7,-7.4927899068718595,-8.0,-7.595151637451289,-7.3594934456195205
1896518,-7,-7.295673944123116,-8.0,-7.434367725588244,-7.1923126703789535
1921523,-6,-6.77740436647387,-7.0,-7.0468643744123804,-7.229016081669883
1946533,-7,-6.866442619884323,-7.0,-7.034203672549397,-7.60175972136372
1971541,-11,-8.519865571930595,-7.0,-8.105588185427923,-7.906171950621001
1996547,-8,-8.311919343158356,-7.0,-8.077062881234315,-7.591146151003656
2021554,-4,-6.587151605895015,-7.0,-6.975619017677569,-7.202896611826091
2046562,-8,-7.152290963537009,-7.0,-7.2523619033751485,-7.36912270404639
2071570,-8,-7.491374578122206,-8.0,-7.454340979410244,-7.705496041156422
2096574,-9,-8.094824746873323,-8.0,-7.871910365258005,-7.790880080092236
2121577,-7,-7.656894848123994,-7.0,-7.636358363888283,-7.664632624703955
2146585,-9,-8.194136908874396,-8.0,-8.004754622650673,-7.383797455509409
2171593,-5,-6.916482145324638,-8.0,-7.1930014961915605,-7.049398681103099
2196593,-7,-6.949889287194782,-8.0,-7.140860943094889,-6.9682454288795554
2221601,-8,-7.369933572316869,-8.0,-7.372962696179349,-6.987692486597851
2246608,-6,-6.821960143390122,-8.0,-7.00204829513846,-6.886228800463243
2271612,-5,-6.093176086034073,-7.0,-6.461182511739773,-7.0780350116598925
2296620,-7,-6.455905651620444,-7.0,-6.606747403258349,-7.881999445241689
2321627,-12,-8.673543390972267,-7.0,-8.063768094460972,-8.746809071190796
2346633,-8,-8.40412603458336,-7.0,-8.046540747623123,-9.149197473075091
2371639,-12,-9.842475620750015,-7.0,-9.114592323034156,-9.159408140253333
2396643,-9,-9.505485372450009,-8.0,-9.083634495133676,-8.666910092413787
2421651,-8,-8.903291223470006,-8.0,-8.790883904874923,-7.790398948204498
2446658,-4,-6.941974734082004,-8.0,-7.496596857617091,-7.162984896020049
2471666,-8,-7.365184840449203,-8.0,-7.632594343607539,-7.071649155294111
2496674,-7,-7.219110904269522,-8.0,-7.461695052087098,-7.128577709867457
2521681,-6,-6.731466542561713,-8.0,-7.066809053903724,-7.244774206640969
2546685,-7,-6.838879925537029,-8.0,-7.048760172982366,-7.70427464526297
2571693,-11,-8.503327955322217,-8.0,-8.116212156845814,-8.142697964962665
2596701,-8,-8.30199677319333,-8.0,-8.084816720778916,-8.07071000825735
2621708,-8,-8.181198063915998,-8.0,-8.06190295678991,-7.685603082414758
2646721,-4,-6.5087188383495995,-8.0,-6.964554640993324,-7.6165251471544195
2671728,-12,-8.70523130300976,-8.0,-8.32491148426921,-7.831634703055229
2696728,-5,-7.223138781805856,-7.0,-7.42666599287052,-7.853898622932334
2721736,-9,-7.933883269083514,-8.0,-7.851711948245452,-7.924054650897048
2746740,-8,-7.960329961450109,-8.0,-7.891772886573286,-8.074441233595294
2771744,-10,-8.776197976870066,-8.0,-8.461323537301734,-7.913428756834946
2796748,-4,-6.86571878612204,-8.0,-7.256069270530501,-7.712511234002562
2821752,-11,-8.519431271673223,-8.0,-8.267515413913817,-7.724788432961674
2846761,-8,-8.311658763003933,-8.0,-8.195244463073585,-7.379731577709805
2871767,-5,-6.98699525780236,-8.0,-7.332029322925786,-6.748761767259424
2896771,-5,-6.192197154681416,-8.0,-6.702017115070564,-6.578171557244119
2921780,-7,-6.51531829280885,-8.0,-6.782519042465684,-6.904564919283786
2946788,-8,-7.10919097568531,-8.0,-7.111429085979015,-7.302205037170367
2971793,-7,-7.0655145854111865,-8.0,-7.081325826218605,-7.608671494890302
2996799,-7,-7.039308751246711,-7.0,-7.059355149080055,-8.080467708832458
3021802,-13,-9.423585250748026,-7.0,-8.664257258079365,-8.358880360338787
3046805,-7,-8.454151150448816,-7.0,-8.214647821656758,-7.8808183161361285
3071813,-4,-6.672490690269289,-7.0,-7.076034531784899,-7.46305702240933
3096821,-7,-6.803494414161573,-7.0,-7.055493330706456,-7.9501675782407375
3121828,-14,-9.682096648496945,-7.0,-8.931594945800157,-8.414307861109876
3146836,-6,-8.209257989098166,-7.0,-8.139606360500734,-8.032285183873952
3171844,-5,-6.9255547934588995,-7.0,-7.291422199379742,-7.780381964972165
3196844,-12,-8.95533287607534,-7.0,-8.563473741298221,-7.88819609709239
3221851,-4,-6.973199725645204,-7.0,-7.330622962373383,-7.829236588373831
3246859,-7,-6.9839198353871215,-7.0,-7.241303115300809,-8.26775157819742
3271867,-13,-9.390351901232272,-7.0,-8.797050850988171,-8.944924346591392
3296875,-12,-10.434211140739365,-7.0,-9.662347459902708,-8.559571652881672
3321882,-2,-7.0605266844436185,-7.0,-7.592316696091091,-7.6254905789329825
