xAccl,yAccl,zAccl,newPosition,time,low-pass_filtered
1085,-72,15,0,6972670,1092.997548
969,-74,182,0,6997678,1017.07749
942,53,160,0,7022685,949.1290861
935,-99,240,0,7047693,878.151763
908,-58,323,0,7072701,779.0897636
594,-42,501,0,7097709,649.4773085
420,-174,488,0,7122721,525.3530037
611,-56,747,0,7147725,403.7579579
286,-73,860,0,7172732,241.8264838
170,-16,908,0,7197736,31.11891523
-628,161,955,0,7222740,-168.9286759
27,-344,747,0,7247744,-328.5141453
-731,378,856,0,7272752,-493.1678299
-469,35,678,0,7297765,-669.8078776
-1081,-12,599,0,7322771,-842.2526317
-1053,154,453,0,7347780,-982.1608312
-1310,-347,-47,0,7372788,-1060.129818
-1112,111,326,0,7397793,-1078.930339
-1017,79,120,0,7422799,-1074.444557
-1143,38,15,0,7447799,-1074.994687
-1059,130,78,0,7472805,-1072.36462
-1099,151,77,0,7497813,-1065.565599
-1063,129,77,0,7522821,-1056.083487
-1101,115,110,0,7547828,-1038.820493
-1054,103,155,0,7572836,-1006.575635
-1052,93,184,0,7597844,-951.1119181
-852,217,303,0,7622851,-875.8115657
-728,130,414,0,7647859,-806.7619166
-894,119,573,0,7672867,-744.6362097
-740,63,663,0,7697867,-654.3297155
-682,-5,782,0,7722874,-517.1325446
-391,-4,885,0,7747879,-334.4617912
-82,-9,889,0,7772887,-131.6526195
76,-26,921,0,7797894,61.61424954
219,5,866,0,7822901,245.9268844
442,-23,802,0,7847909,429.4376921
744,-12,764,0,7872913,593.9322151
775,-123,579,0,7897917,716.1983891
848,-71,477,0,7922921,802.2781976
807,-85,341,0,7947925,876.3465896
1026,-79,258,0,7972928,948.4154065
1055,-95,201,0,7997936,1002.502022
1050,-74,128,0,8022948,1032.147977
1069,-60,127,0,8047956,1046.70483
1037,-60,122,0,8072963,1052.813686
1066,-56,131,0,8097969,1055.166978
1101,-71,130,0,8122977,1047.77818
1045,-71,302,0,8147983,1022.227433
977,-64,325,0,8172988,983.4812295
986,-65,397,0,8197992,934.7906641
891,-44,491,0,8222998,870.3809456
880,-53,571,0,8247998,782.6348396
697,-51,726,0,8273005,665.6357256
556,-43,773,0,8298009,525.1863953
381,41,908,0,8323013,370.3620825
356,-88,827,0,8348021,189.1753883
34,-6,927,0,8373028,-39.00077569
-485,-16,896,0,8398036,-282.2190432
-536,86,837,0,8423040,-489.6358315
-713,169,769,0,8448044,-664.9260381
-1229,338,689,0,8473048,-782.5778525
-704,217,563,0,8498052,-817.8275573
-733,16,456,0,8523055,-845.6417707
-983,163,355,0,8548059,-904.1139156
-993,97,269,0,8573067,-957.8365414
-1038,137,246,0,8598075,-995.1921802
-1060,141,219,0,8623084,-1019.363154
-1053,144,232,0,8648090,-1032.053494
-1105,128,270,0,8673090,-1032.191078
-1081,139,259,0,8698098,-1011.368295
-1071,168,289,0,8723105,-960.6156949
-824,291,558,0,8748113,-890.1442599
-852,123,542,0,8773121,-822.4804858
-880,70,609,0,8798129,-745.1312561
-765,45,707,0,8823136,-625.789274
-463,66,811,0,8848140,-467.5451277
-300,25,898,0,8873144,-299.2973892
-185,15,969,0,8898148,-129.1704409
74,28,942,0,8923152,46.14397865
214,25,910,0,8948152,218.3203444
452,-32,857,0,8973159,377.1122865
644,-63,766,0,8998163,502.4630376
359,134,733,0,9023167,613.4511735
962,-77,529,0,9048175,735.4856131
855,-107,471,0,9073179,830.7508226
849,-85,404,0,9098183,899.0217669
1090,-90,351,0,9123186,957.831357
1000,-46,321,0,9148190,989.6840651
996,-73,243,0,9173194,1002.7509
1042,-65,261,0,9198198,1009.131837
1034,-53,267,0,9223202,1002.505038
1038,-97,325,0,9248206,975.8487859
840,-95,339,0,9273209,939.7669315
956,-72,433,0,9298213,909.5397627
981,-95,464,0,9323217,864.289308
887,-87,620,0,9348221,774.6553112
604,-27,690,0,9373229,650.7877619
490,-8,782,0,9398233,525.0093778
526,-154,847,0,9423236,394.0576501
219,-78,884,0,9448244,237.6466549
99,20,981,0,9473252,64.17313509
-104,106,951,0,9498260,-119.8519513
-378,101,895,0,9523267,-307.0132022
-526,87,851,0,9548271,-479.8622797
-744,116,744,0,9573275,-627.1885568
-776,103,620,0,9598283,-745.8941549
-931,124,561,0,9623286,-840.3682723
-970,47,442,0,9648291,-910.2507517
-1012,107,372,0,9673294,-956.0672792
-1025,112,355,0,9698298,-983.3029738
-1033,134,332,0,9723302,-995.7807663
-1013,138,342,0,9748306,-998.2483001
-1049,53,235,0,9773313,-991.3867904
-1017,117,340,0,9798317,-969.6902377
-936,105,477,0,9823321,-935.7364992
-1027,118,437,0,9848325,-885.7174781
-840,85,616,0,9873329,-806.3949173
-751,65,646,0,9898333,-704.1177535
-658,75,742,0,9923337,-584.5597102
-470,-6,803,0,9948341,-445.9531302
-362,77,908,0,9973344,-290.917635
-55,-10,915,0,9998348,-129.9970805
-65,-53,934,0,10023352,28.88041789
238,-26,939,0,10048356,190.9961863
347,-9,915,0,10073360,349.7892494
494,-58,814,0,10098364,501.4500258
727,-71,742,0,10123367,642.5717181
751,-98,633,0,10148371,764.739339
1023,-114,536,0,10173375,860.4876023
873,-35,523,0,10198379,925.7540352
1108,-150,369,0,10223383,966.8128367
951,-74,361,0,10248387,983.8073495
1007,-78,346,0,10273394,987.2953589
1004,-62,377,0,10298398,984.4662508
982,-84,347,0,10323402,970.7574472
990,-83,387,0,10348406,944.3313093
870,-77,437,0,10373413,907.5430753
910,-86,513,0,10398421,865.5971399
888,-56,564,0,10423429,806.2175526
775,-48,676,0,10448434,715.4184474
608,-43,777,0,10473437,599.2115056
498,-54,836,0,10498441,468.2930946
365,-14,919,0,10523448,322.2368967
60,3,929,0,10548452,172.2734433
152,5,968,0,10573460,24.33812728
-183,-23,913,0,10598460,-137.3215006
-360,53,912,0,10623467,-300.1303488
-485,72,842,0,10648471,-445.1999736
-653,106,783,0,10673475,-570.8219802
-716,102,681,0,10698483,-674.4999555
-752,104,618,0,10723487,-766.0645131
-950,89,511,0,10748491,-849.375191
-977,97,454,0,10773498,-909.8381568
-1006,114,437,0,10798506,-942.9103625
-993,121,422,0,10823513,-955.5881821
-971,107,430,0,10848514,-955.9614427
-1018,165,436,0,10873518,-945.3638844
-948,132,502,0,10898523,-918.6441267
-906,112,532,0,10923533,-879.0655409
-890,106,570,0,10948541,-827.9842196
-866,114,672,0,10973550,-753.0613675
-620,48,747,0,10998558,-655.4932722
-671,94,818,0,11023566,-543.951895
-467,28,880,0,11048570,-407.0453635
-299,27,905,0,11073577,-242.1479697
29,2,969,0,11098585,-73.44524528
11,0,947,0,11123589,83.83862828
275,-19,914,0,11148593,238.1908502
422,-3,873,0,11173600,385.0169665
551,-57,809,0,11198608,512.7475488
673,-69,736,0,11223616,619.5168218
698,0,649,0,11248626,708.6991125
824,-61,597,0,11273633,787.1097998
881,-67,551,0,11298635,852.3864735
958,-85,467,0,11323643,898.0428492
945,-82,405,0,11348651,922.2947532
941,-85,431,0,11373658,930.9454499
952,-80,445,0,11398662,929.1709858
930,-80,461,0,11423670,916.6118622
937,-52,528,0,11448670,890.4554918
881,-98,548,0,11473677,845.9873848
741,-60,633,0,11498685,790.9975353
897,-150,694,0,11523693,720.8487506
654,-47,764,0,11548701,611.2180162
460,0,873,0,11573708,472.0247407
377,-50,904,0,11598717,321.5147297
104,-31,917,0,11623720,163.2808121
-19,16,988,0,11648728,11.14011856
-156,30,936,0,11673736,-129.4023742
-230,-45,904,0,11698740,-268.9267234
-459,31,835,0,11723744,-412.5503265
-602,65,814,0,11748748,-548.6097503
-755,82,727,0,11773761,-662.7426752
-809,85,648,0,11798765,-749.5565663
-873,96,611,0,11823771,-811.6341284
-886,101,544,0,11848774,-855.1618884
-946,111,524,0,11873777,-882.9378749
-937,117,502,0,11898781,-893.4655316
-926,114,513,0,11923790,-888.0342202
-880,112,534,0,11948793,-873.0584437
-899,105,563,0,11973798,-851.3345893
-841,92,627,0,11998799,-820.4377934
-897,85,625,0,12023805,-770.7840111
-703,69,722,0,12048813,-695.5710967
-659,105,785,0,12073821,-603.5198357
-557,44,857,0,12098828,-496.4631949
-395,46,935,0,12123836,-372.2860252
-320,52,955,0,12148844,-231.4863243
-85,-10,962,0,12173851,-72.18425968
131,-2,943,0,12198859,91.25443304
250,-28,922,0,12223867,243.4830112
428,1,899,0,12248867,381.8224361
547,-70,831,0,12273874,501.5562659
688,-53,762,0,12298878,593.625281
575,68,769,0,12323887,667.3453263
788,-81,612,0,12348891,742.0824479
883,-98,563,0,12373894,805.1814782
860,-51,576,0,12398898,841.8342923
879,-68,526,0,12423905,861.1635385
881,-66,522,0,12448909,870.1688586
906,-81,532,0,12473917,867.4601509
886,-85,543,0,12498921,848.0665358
822,-71,599,0,12523928,812.1534437
765,-70,617,0,12548936,766.8401205
807,-68,769,0,12573948,706.8750298
655,-25,798,0,12598948,618.9289011
501,-41,841,0,12623956,510.4537879
427,-54,887,0,12648963,393.0660035
272,-51,937,0,12673965,265.3090182
144,-1,947,0,12698973,127.2956371
-89,-48,946,0,12723977,-10.30397107
-64,17,970,0,12748977,-145.3311389
-342,32,911,0,12773986,-286.9662387
-452,32,865,0,12798992,-426.5684116
-622,55,819,0,12823998,-551.4198485
-732,96,751,0,12849002,-654.4887311
-796,98,687,0,12874009,-730.9330346
-821,118,644,0,12899013,-785.7169524
-862,100,592,0,12924017,-826.2832758
-893,109,580,0,12949021,-855.4479341
-903,118,577,0,12974025,-873.6355029
-899,117,598,0,12999025,-883.8342401
-1002,118,588,0,13024029,-878.5933031
-905,102,636,0,13049033,-843.2948999
-838,105,674,0,13074036,-779.8893717
-755,78,730,0,13099040,-695.383428
-590,65,784,0,13124048,-596.7371662
-536,69,893,0,13149052,-492.3541685
-464,32,910,0,13174055,-373.8172708
-274,20,933,0,13199060,-231.1292511
44,-30,962,0,13224063,-87.41235427
-76,54,991,0,13249067,42.11581672
227,-17,988,0,13274071,173.366861
274,-35,933,0,13299075,305.4128825
476,-52,885,0,13324079,430.0358637
561,-49,835,0,13349084,542.8830821
648,-54,781,0,13374090,643.0712847
828,-35,758,0,13399094,726.1619766
840,-87,642,0,13424098,777.4592098
785,-74,615,0,13449106,803.4835756
855,-81,571,0,13474109,819.5646687
849,-85,581,0,13499113,823.9994177
853,-73,576,0,13524117,811.6514389
849,-81,597,0,13549121,777.0210138
822,-16,622,0,13574125,707.6305062
337,374,705,0,13599129,634.2833578
694,-78,713,0,13624133,597.2029935
657,-79,811,0,13649140,556.895922
543,-95,836,0,13674144,475.0399403
384,-32,915,0,13699148,362.8424707
249,-61,951,0,13724152,234.0215152
60,18,966,0,13749152,100.4970406
1,-29,984,0,13774159,-33.3325048
-243,44,973,0,13799163,-165.6472834
-277,51,983,0,13824167,-290.4428893
-452,44,905,0,13849175,-409.1330635
-602,64,846,0,13874179,-514.8432265
-611,51,790,0,13899183,-600.4759822
-736,66,743,0,13924186,-671.7792874
-770,93,696,0,13949190,-727.849505
-818,100,664,0,13974194,-766.7464201
-832,96,637,0,13999202,-789.8147528
-848,104,631,0,14024206,-797.0862226
-859,110,656,0,14049210,-785.3214625
-769,100,671,0,14074213,-755.093859
-745,94,691,0,14099221,-714.7692362
-684,83,737,0,14124225,-668.722764
-670,93,762,0,14149229,-614.147728
