xAccl,yAccl,zAccl,time
-108,74,1013,0.0
-200,69,1009,0.02
-149,55,985,0.04
-156,67,992,0.06
-270,97,994,0.08
-309,66,985,0.1
-279,59,980,0.12000000000000001
-311,89,975,0.14
-303,101,973,0.16
-314,98,971,0.18
-312,78,968,0.19999999999999998
-363,77,976,0.21999999999999997
-303,89,989,0.23999999999999996
-297,83,973,0.25999999999999995
-1948,321,31,0.27999999999999997
110,353,847,0.3
-174,98,1091,0.32
-274,90,924,0.34
-427,149,979,0.36000000000000004
-448,112,913,0.38000000000000006
-466,73,841,0.4000000000000001
-490,115,873,0.4200000000000001
-552,140,846,0.4400000000000001
-651,141,808,0.46000000000000013
-675,115,774,0.48000000000000015
-676,95,635,0.5000000000000001
-849,136,662,0.5200000000000001
-884,140,614,0.5400000000000001
-901,131,546,0.5600000000000002
-852,110,477,0.5800000000000002
-925,130,447,0.6000000000000002
-924,126,392,0.6200000000000002
-956,117,331,0.6400000000000002
-994,137,313,0.6600000000000003
-1007,127,274,0.6800000000000003
-1004,131,221,0.7000000000000003
-1017,129,170,0.7200000000000003
-1031,135,137,0.7400000000000003
-1031,138,101,0.7600000000000003
-1063,145,70,0.7800000000000004
-1038,143,28,0.8000000000000004
-1046,140,21,0.8200000000000004
-1047,142,6,0.8400000000000004
-1028,139,-6,0.8600000000000004
-1150,90,-74,0.8800000000000004
-1030,145,-27,0.9000000000000005
-1029,142,-41,0.9200000000000005
-1031,147,-41,0.9400000000000005
-1043,144,-55,0.9600000000000005
-1036,140,-70,0.9800000000000005
-1037,141,-78,1.0000000000000004
-1036,144,-91,1.0200000000000005
-1035,147,-98,1.0400000000000005
-1039,142,-95,1.0600000000000005
-1034,148,-95,1.0800000000000005
-1033,143,-98,1.1000000000000005
-1039,147,-89,1.1200000000000006
-1053,142,-70,1.1400000000000006
-1090,153,-72,1.1600000000000006
-1068,134,-47,1.1800000000000006
-1068,154,2,1.2000000000000006
-1076,184,57,1.2200000000000006
-1068,147,128,1.2400000000000007
-1103,94,124,1.2600000000000007
-1018,163,266,1.2800000000000007
-979,137,374,1.3000000000000007
-893,57,458,1.3200000000000007
-802,120,599,1.3400000000000007
-725,127,673,1.3600000000000008
-718,111,754,1.3800000000000008
-176,105,879,1.4000000000000008
-315,89,922,1.4200000000000008
20,115,941,1.4400000000000008
196,61,911,1.4600000000000009
357,44,858,1.4800000000000009
205,9,722,1.5000000000000009
637,32,726,1.520000000000001
886,25,662,1.540000000000001
1211,-155,315,1.560000000000001
849,142,406,1.580000000000001
988,-50,299,1.600000000000001
1002,2,180,1.620000000000001
1063,-24,91,1.640000000000001
1061,9,64,1.660000000000001
1094,6,10,1.680000000000001
1073,25,-22,1.700000000000001
1058,32,-8,1.720000000000001
1071,34,-18,1.740000000000001
1047,34,54,1.7600000000000011
1076,21,14,1.7800000000000011
1114,-49,-11,1.8000000000000012
1066,29,149,1.8200000000000012
1032,1,205,1.8400000000000012
1024,98,351,1.8600000000000012
731,-43,400,1.8800000000000012
2047,-224,740,1.9000000000000012
820,-142,507,1.9200000000000013
230,-739,443,1.9400000000000013
298,498,1108,1.9600000000000013
834,-1159,126,1.9800000000000013
-946,141,817,2.0000000000000013
-203,-103,957,2.0200000000000014
149,108,877,2.0400000000000014
-501,160,988,2.0600000000000014
-401,148,875,2.0800000000000014
-127,54,1002,2.1000000000000014
-639,130,751,2.1200000000000014
-748,122,643,2.1400000000000015
-845,161,665,2.1600000000000015
-911,84,454,2.1800000000000015
-996,188,481,2.2000000000000015
-976,161,452,2.2200000000000015
-972,140,333,2.2400000000000015
-1034,154,296,2.2600000000000016
-1032,148,291,2.2800000000000016
-1044,154,298,2.3000000000000016
-1061,135,287,2.3200000000000016
-1037,167,308,2.3400000000000016
-1029,190,350,2.3600000000000017
-982,148,387,2.3800000000000017
-909,178,491,2.4000000000000017
-1084,46,489,2.4200000000000017
-856,148,567,2.4400000000000017
-796,121,612,2.4600000000000017
