xAccl,yAccl,zAccl,time
996,16,259,1742476822.9351358
985,27,227,1742476822.98089
996,16,206,1742476823.0313234
987,20,187,1742476823.0811787
1001,13,151,1742476823.1353564
1010,24,120,1742476823.1871827
860,71,70,1742476823.2376542
1009,20,40,1742476823.281331
967,34,61,1742476823.3302917
1025,33,27,1742476823.3795292
950,29,6,1742476823.436827
1023,9,-24,1742476823.4794006
1056,122,22,1742476823.5430138
725,-30,-81,1742476823.5909965
1060,43,-23,1742476823.642564
856,190,15,1742476823.696854
1047,23,-160,1742476823.7477195
908,13,-84,1742476823.7973967
1114,17,-40,1742476823.8477075
1075,-3,-40,1742476823.8979096
1009,18,70,1742476823.9477367
929,56,269,1742476823.997355
833,57,509,1742476824.0478127
651,18,725,1742476824.0980513
528,-155,872,1742476824.1478453
-994,346,1042,1742476824.197914
-723,132,727,1742476824.2487147
-984,44,451,1742476824.298375
-1018,110,312,1742476824.3493235
-1106,100,154,1742476824.400973
-1072,104,135,1742476824.461419
-1078,97,159,1742476824.5134113
-1172,79,237,1742476824.5643227
-958,76,501,1742476824.6143734
-627,61,750,1742476824.6644635
-245,69,870,1742476824.7148259
182,67,943,1742476824.7641428
572,59,766,1742476824.8143759
1001,-27,521,1742476824.8640695
1080,33,402,1742476824.9176476
988,45,191,1742476824.9641948
1068,29,143,1742476825.0141551
1026,39,159,1742476825.0664515
1057,25,287,1742476825.1141016
868,51,489,1742476825.1640444
670,88,720,1742476825.2140899
373,44,856,1742476825.264311
-136,84,913,1742476825.3288906
-453,66,825,1742476825.380419
-810,75,651,1742476825.4313421
-867,84,440,1742476825.4804177
-1006,88,293,1742476825.5303948
-1059,104,229,1742476825.5819185
-1048,105,268,1742476825.6304955
-907,78,321,1742476825.683887
-869,91,553,1742476825.7310584
-681,56,747,1742476825.7806847
-235,59,947,1742476825.8310018
126,43,922,1742476825.8807757
742,46,791,1742476825.938366
685,31,605,1742476825.980772
882,51,439,1742476826.03339
1011,9,286,1742476826.0812733
1044,30,242,1742476826.1454377
1056,20,245,1742476826.196442
963,48,365,1742476826.2474973
799,47,599,1742476826.2972682
616,22,762,1742476826.3471174
333,12,875,1742476826.3971753
-329,139,975,1742476826.451058
-482,147,841,1742476826.497164
-753,47,637,1742476826.5477867
-864,66,476,1742476826.5976264
-1023,101,375,1742476826.647634
-1008,118,345,1742476826.6974313
