xAccl,yAccl,zAccl,time
-108,74,1013,0
-200,69,1009,25
-149,55,985,50
-156,67,992,75
-270,97,994,100
-309,66,985,125
-279,59,980,150
-311,89,975,175
-303,101,973,200
-314,98,971,225
-312,78,968,250
-363,77,976,275
-303,89,989,300
-297,83,973,325
-1948,321,31,350
110,353,847,375
-174,98,1091,400
-274,90,924,425
-427,149,979,450
-448,112,913,475
-466,73,841,500
-490,115,873,525
-552,140,846,550
-651,141,808,575
-675,115,774,600
-676,95,635,625
-849,136,662,650
-884,140,614,675
-901,131,546,700
-852,110,477,725
-925,130,447,750
-924,126,392,775
-956,117,331,800
-994,137,313,825
-1007,127,274,850
-1004,131,221,875
-1017,129,170,900
-1031,135,137,925
-1031,138,101,950
-1063,145,70,975
-1038,143,28,1000
-1046,140,21,1025
-1047,142,6,1050
-1028,139,-6,1075
-1150,90,-74,1100
-1030,145,-27,1125
-1029,142,-41,1150
-1031,147,-41,1175
-1043,144,-55,1200
-1036,140,-70,1225
-1037,141,-78,1250
-1036,144,-91,1275
-1035,147,-98,1300
-1039,142,-95,1325
-1034,148,-95,1350
-1033,143,-98,1375
-1039,147,-89,1400
-1053,142,-70,1425
-1090,153,-72,1450
-1068,134,-47,1475
-1068,154,2,1500
-1076,184,57,1525
-1068,147,128,1550
-1103,94,124,1575
-1018,163,266,1600
-979,137,374,1625
-893,57,458,1650
-802,120,599,1675
-725,127,673,1700
-718,111,754,1725
-176,105,879,1750
-315,89,922,1775
20,115,941,1800
196,61,911,1825
357,44,858,1850
205,9,722,1875
637,32,726,1900
886,25,662,1925
1211,-155,315,1950
849,142,406,1975
988,-50,299,2000
1002,2,180,2025
1063,-24,91,2050
1061,9,64,2075
1094,6,10,2100
1073,25,-22,2125
1058,32,-8,2150
1071,34,-18,2175
1047,34,54,2200
1076,21,14,2225
1114,-49,-11,2250
1066,29,149,2275
1032,1,205,2300
1024,98,351,2325
731,-43,400,2350
2047,-224,740,2375
820,-142,507,2400
230,-739,443,2425
298,498,1108,2450
834,-1159,126,2475
-946,141,817,2500
-203,-103,957,2525
149,108,877,2550
-501,160,988,2575
-401,148,875,2600
-127,54,1002,2625
-639,130,751,2650
-748,122,643,2675
-845,161,665,2700
-911,84,454,2725
-996,188,481,2750
-976,161,452,2775
-972,140,333,2800
-1034,154,296,2825
-1032,148,291,2850
-1044,154,298,2875
-1061,135,287,2900
-1037,167,308,2925
-1029,190,350,2950
-982,148,387,2975
-909,178,491,3000
-1084,46,489,3025
-856,148,567,3050
-796,121,612,3075
-754,99,724,3100
-510,122,810,3125
-339,123,823,3150
539,136,980,3175
-491,83,911,3200
22,56,965,3225
134,56,952,3250
235,48,874,3275
334,80,859,3300
636,54,802,3325
855,0,723,3350
1081,-109,619,3375
926,-109,487,3400
832,2,391,3425
836,223,515,3450
843,-42,309,3475
965,10,284,3500
973,-8,289,3525
1020,16,271,3550
1029,18,294,3575
996,-2,287,3600
1007,12,314,3625
1057,6,351,3650
1088,-128,458,3675
921,-52,376,3700
1317,-30,459,3725
787,25,502,3750
808,42,724,3775
759,-132,644,3800
1156,-386,767,3825
603,-93,750,3850
-2048,1514,1922,3875
745,-121,1055,3900
-660,230,1014,3925
-352,234,1016,3950
181,-25,928,3975
-11,103,991,4000
-475,37,791,4025
-555,143,847,4050
-621,99,768,4075
-732,154,724,4100
-767,149,673,4125
-799,166,638,4150
-848,155,578,4175
-893,150,566,4200
-905,158,551,4225
-905,154,541,4250
-898,155,549,4275
-814,173,568,4300
-854,152,569,4325
-908,160,615,4350
-683,223,650,4375
-802,130,673,4400
-745,154,742,4425
-640,125,791,4450
-547,117,831,4475
-412,105,885,4500
-445,104,904,4525
-75,-98,841,4550
232,68,952,4575
19,48,959,4600
173,47,945,4625
266,19,913,4650
408,54,913,4675
716,-16,843,4700
523,88,830,4725
643,-27,684,4750
525,34,739,4775
600,19,616,4800
805,9,513,4825
876,65,573,4850
894,26,534,4875
909,-159,406,4900
852,27,495,4925
881,7,513,4950
841,145,616,4975
863,11,568,5000
793,-250,457,5025
892,-330,545,5050
700,29,638,5075
616,107,802,5100
526,117,850,5125
596,-16,823,5150
485,40,896,5175
262,17,928,5200
136,30,944,5225
18,41,968,5250
-177,98,953,5275
-129,55,953,5300
-181,75,905,5325
-339,79,885,5350
-517,114,856,5375
-715,214,862,5400
-674,148,766,5425
-744,123,728,5450
-782,118,697,5475
-822,135,658,5500
-833,153,654,5525
-846,137,619,5550
-855,135,609,5575
-870,140,630,5600
-844,150,656,5625
-838,147,660,5650
-790,102,668,5675
-753,113,716,5700
-681,122,774,5725
-627,139,798,5750
-570,105,846,5775
-491,68,871,5800
-370,119,938,5825
-243,99,951,5850
-125,63,963,5875
32,74,1000,5900
149,75,1013,5925
190,49,934,5950
340,35,912,5975
556,65,884,6000
429,61,881,6025
537,48,842,6050
685,16,758,6075
679,27,709,6100
780,-7,700,6125
833,21,632,6150
834,27,609,6175
835,17,611,6200
837,-2,606,6225
881,-9,575,6250
817,31,613,6275
764,40,691,6300
879,-52,627,6325
780,-19,671,6350
673,14,735,6375
656,12,786,6400
527,-2,839,6425
475,35,886,6450
358,26,916,6475
316,55,926,6500
154,32,955,6525
50,51,944,6550
-172,37,982,6575
-132,83,992,6600
-147,16,896,6625
-322,64,932,6650
-495,155,887,6675
-590,101,860,6700
-650,114,839,6725
-683,164,751,6750
-750,142,752,6775
-746,122,713,6800
-796,128,697,6825
-793,121,689,6850
-807,133,685,6875
-825,131,686,6900
-795,127,700,6925
-746,100,710,6950
-731,111,739,6975
-684,127,774,7000
-635,147,810,7025
-551,105,833,7050
-502,84,864,7075
-493,76,891,7100
-420,80,950,7125
-225,59,958,7150
-101,73,973,7175
89,64,1003,7200
61,72,971,7225
192,60,958,7250
235,48,948,7275
482,20,893,7300
537,7,880,7325
550,-5,806,7350
684,-4,747,7375
812,-24,702,7400
698,-18,707,7425
800,29,690,7450
786,14,683,7475
800,2,648,7500
791,6,663,7525
803,8,677,7550
796,10,675,7575
754,-13,692,7600
783,-12,711,7625
678,14,768,7650
632,15,792,7675
584,12,828,7700
478,42,869,7725
402,37,908,7750
315,38,925,7775
181,62,976,7800
49,38,990,7825
-95,137,1007,7850
-66,69,978,7875
-195,60,973,7900
-7,22,932,7925
-523,151,960,7950
-428,90,899,7975
-531,113,869,8000
-590,127,835,8025
-615,125,797,8050
-700,139,802,8075
-695,124,759,8100
-749,120,747,8125
-765,137,727,8150
-731,158,726,8175
-758,139,782,8200
-697,117,741,8225
-695,130,766,8250
-684,135,796,8275
-609,143,827,8300
-537,104,874,8325
-450,92,904,8350
-383,118,917,8375
-280,139,969,8400
-10,84,976,8425
-163,93,978,8450
-95,36,992,8475
65,57,983,8500
91,20,947,8525
270,44,948,8550
434,22,928,8575
434,24,918,8600
536,29,864,8625
567,34,844,8650
621,9,804,8675
652,-1,777,8700
701,1,759,8725
702,0,695,8750
752,14,719,8775
741,-4,713,8800
738,-4,710,8825
749,-3,716,8850
723,8,723,8875
694,14,764,8900
667,-4,773,8925
618,17,823,8950
492,65,840,8975
517,32,858,9000
413,13,898,9025
349,38,939,9050
277,23,942,9075
41,61,965,9100
20,109,1021,9125
-80,112,1022,9150
-114,62,972,9175
-358,124,1001,9200
-430,123,964,9225
-291,100,912,9250
-377,74,885,9275
-528,132,915,9300
-592,118,862,9325
-610,135,829,9350
-660,124,804,9375
-680,117,792,9400
-702,113,779,9425
-692,127,778,9450
-706,141,784,9475
-684,130,789,9500
-650,121,806,9525
-621,107,825,9550
-583,112,848,9575
-542,131,884,9600
-490,90,900,9625
-427,84,918,9650
-335,65,942,9675
-346,95,957,9700
-297,118,978,9725
51,28,977,9750
12,55,997,9775
75,52,982,9800
174,48,971,9825
232,88,990,9850
349,41,951,9875
432,10,892,9900
480,46,897,9925
604,33,851,9950
587,10,820,9975
654,10,811,10000
634,-1,766,10025
672,23,760,10050
703,7,757,10075
704,26,770,10100
688,0,755,10125
680,5,764,10150
655,14,789,10175
629,-22,782,10200
579,21,817,10225
516,0,874,10250
495,14,890,10275
475,-7,891,10300
361,26,933,10325
214,39,958,10350
10,126,1018,10375
-54,102,1031,10400
116,38,971,10425
-89,79,995,10450
-115,65,967,10475
-172,55,933,10500
-394,104,971,10525
-386,81,920,10550
-442,94,919,10575
-580,98,862,10600
-563,128,880,10625
-604,115,842,10650
-622,119,838,10675
-646,116,818,10700
-637,120,814,10725
-641,125,825,10750
-620,119,837,10775
-608,122,850,10800
-578,111,846,10825
-537,110,875,10850
-488,92,885,10875
-440,102,912,10900
-359,68,922,10925
-339,71,948,10950
-230,91,984,10975
-377,139,1006,11000
-96,64,1010,11025
12,53,988,11050
105,57,985,11075
169,52,981,11100
300,39,961,11125
452,10,931,11150
409,17,908,11175
470,38,897,11200
529,14,885,11225
539,22,847,11250
600,3,834,11275
598,19,803,11300
645,2,794,11325
646,4,790,11350
644,13,793,11375
637,5,800,11400
629,13,815,11425
580,-6,815,11450
566,-43,779,11475
548,24,852,11500
493,20,901,11525
430,15,894,11550
368,31,940,11575
322,33,947,11600
258,25,960,11625
-55,101,1015,11650
136,31,976,11675
-60,73,999,11700
-98,84,1004,11725
-175,90,982,11750
-276,72,963,11775
-313,142,1000,11800
-275,121,954,11825
-517,82,912,11850
-446,87,900,11875
-502,132,906,11900
-572,103,863,11925
-571,117,857,11950
-595,114,857,11975
-577,115,851,12000
-601,118,866,12025
-578,120,861,12050
-558,122,881,12075
-522,108,890,12100
-484,104,901,12125
-442,90,916,12150
-391,88,932,12175
-320,86,963,12200
-326,52,962,12225
-92,74,985,12250
-154,64,987,12275
-46,60,1008,12300
66,40,999,12325
80,58,997,12350
218,51,984,12375
308,49,978,12400
316,50,947,12425
386,18,929,12450
360,40,918,12475
462,24,893,12500
540,18,873,12525
563,8,867,12550
540,34,868,12575
581,27,839,12600
606,16,831,12625
607,11,828,12650
589,8,833,12675
576,-7,831,12700
537,13,871,12725
563,-23,834,12750
509,7,891,12775
389,26,917,12800
361,40,945,12825
270,38,959,12850
224,40,972,12875
134,60,998,12900
52,63,989,12925
46,59,994,12950
-116,58,1009,12975
-127,83,988,13000
-119,53,974,13025
-95,18,924,13050
-356,89,968,13075
-358,104,959,13100
-439,94,930,13125
-452,90,908,13150
-508,89,901,13175
-500,109,896,13200
-546,105,885,13225
-549,114,883,13250
-541,115,879,13275
-540,99,882,13300
-530,106,901,13325
-506,108,906,13350
-477,89,912,13375
-419,89,923,13400
-393,93,936,13425
-319,100,955,13450
-188,65,959,13475
-207,80,997,13500
-113,42,975,13525
-72,49,996,13550
12,51,997,13575
43,64,997,13600
88,49,991,13625
155,46,983,13650
317,28,961,13675
329,37,959,13700
363,25,914,13725
446,28,912,13750
483,17,904,13775
517,18,891,13800
494,22,876,13825
560,16,856,13850
565,15,866,13875
553,15,847,13900
545,24,872,13925
532,30,878,13950
518,14,873,13975
488,25,902,14000
456,23,902,14025
389,21,935,14050
406,11,925,14075
306,32,954,14100
259,38,963,14125
178,68,982,14150
115,34,977,14175
60,40,982,14200
37,27,974,14225
-46,61,990,14250
-175,71,986,14275
-345,122,970,14300
-157,49,976,14325
-342,110,974,14350
-407,105,956,14375
-375,100,938,14400
-469,92,926,14425
-478,93,910,14450
-491,104,912,14475
-507,110,904,14500
-498,110,904,14525
-545,97,906,14550
-477,101,907,14575
-461,102,921,14600
-440,103,929,14625
-411,96,934,14650
-351,86,960,14675
-304,100,969,14700
-269,73,978,14725
-266,79,982,14750
-413,98,1009,14775
-6,44,1000,14800
-35,45,985,14825
-7,75,1023,14850
131,50,1001,14875
233,37,980,14900
251,32,978,14925
327,29,963,14950
336,35,950,14975
403,20,926,15000
452,26,909,15025
466,17,908,15050
497,31,907,15075
504,11,889,15100
501,12,891,15125
509,16,889,15150
517,12,872,15175
504,19,889,15200
474,25,907,15225
471,16,912,15250
427,26,919,15275
375,27,935,15300
423,-1,928,15325
300,30,951,15350
256,30,967,15375
215,35,983,15400
91,42,982,15425
147,62,984,15450
-9,34,995,15475
-13,43,988,15500
-149,56,1003,15525
-132,58,990,15550
-94,53,955,15575
-279,109,983,15600
-381,95,970,15625
-390,91,956,15650
-374,108,948,15675
-446,95,937,15700
-452,105,932,15725
-452,97,931,15750
-455,98,926,15775
-431,94,917,15800
-445,98,930,15825
-418,102,946,15850
-402,97,941,15875
-380,92,947,15900
-357,90,959,15925
-287,73,965,15950
-224,80,978,15975
-208,67,985,16000
16,104,1032,16025
-44,62,1007,16050
21,60,1005,16075
48,52,1004,16100
73,35,987,16125
138,43,984,16150
181,50,977,16175
282,23,977,16200
241,42,963,16225
269,44,977,16250
406,21,929,16275
413,36,930,16300
426,34,920,16325
449,23,913,16350
469,20,908,16375
471,26,905,16400
466,21,905,16425
459,16,908,16450
448,23,921,16475
428,14,916,16500
384,25,936,16525
350,35,936,16550
341,29,948,16575
273,24,966,16600
224,46,976,16625
171,59,996,16650
200,26,985,16675
136,23,998,16700
9,37,1005,16725
-55,50,999,16750
-96,58,999,16775
-147,65,989,16800
-244,80,996,16825
-188,56,975,16850
-258,88,978,16875
-221,93,977,16900
-381,96,957,16925
-366,92,958,16950
-397,89,942,16975
-409,98,946,17000
-421,98,944,17025
-416,91,939,17050
-409,86,945,17075
-395,89,957,17100
-356,95,956,17125
-334,89,965,17150
-316,68,962,17175
-264,72,981,17200
-207,70,984,17225
-198,68,993,17250
-188,57,1007,17275
-43,45,1002,17300
2,53,993,17325
20,53,1020,17350
41,57,1002,17375
174,35,989,17400
177,27,973,17425
286,14,972,17450
225,42,973,17475
357,25,951,17500
353,33,945,17525
343,29,951,17550
389,22,943,17575
413,23,917,17600
430,27,925,17625
426,22,928,17650
421,13,928,17675
411,18,926,17700
400,32,940,17725
398,26,930,17750
365,25,944,17775
310,33,956,17800
279,28,966,17825
249,27,971,17850
233,34,980,17875
167,41,985,17900
22,51,1010,17925
48,60,1020,17950
-14,70,1013,17975
-21,37,1018,18000
-92,83,1015,18025
-152,65,1000,18050
-184,74,984,18075
-202,88,993,18100
-270,77,996,18125
-334,93,986,18150
-325,83,964,18175
-333,82,966,18200
-354,82,965,18225
-364,95,953,18250
-371,94,952,18275
-406,95,959,18300
-366,85,962,18325
-347,93,964,18350
-326,79,962,18375
-300,70,976,18400
-264,68,978,18425
-239,61,977,18450
-192,66,989,18475
-163,73,1015,18500
117,128,1057,18525
-323,104,984,18550
-65,59,1018,18575
68,60,1009,18600
97,46,1006,18625
128,36,992,18650
189,46,987,18675
235,48,990,18700
264,36,978,18725
274,33,974,18750
298,39,967,18775
336,27,944,18800
383,21,946,18825
376,31,943,18850
384,21,940,18875
378,24,940,18900
382,17,931,18925
369,25,953,18950
356,34,952,18975
348,21,955,19000
315,32,958,19025
300,30,959,19050
249,39,966,19075
198,42,987,19100
129,58,1000,19125
115,75,1002,19150
48,68,1011,19175
11,61,1015,19200
39,56,1006,19225
-31,56,1004,19250
-77,63,1007,19275
-108,64,999,19300
-148,60,997,19325
-188,78,995,19350
-182,55,972,19375
-241,90,979,19400
-309,87,978,19425
-310,82,977,19450
-289,97,979,19475
-336,80,965,19500
-321,85,963,19525
-337,91,969,19550
-320,88,975,19575
-299,78,983,19600
-274,77,981,19625
-262,76,986,19650
-231,75,990,19675
-202,64,997,19700
-142,68,1000,19725
-128,65,997,19750
-86,65,1009,19775
-2,73,1011,19800
17,45,1018,19825
48,57,1005,19850
51,48,1005,19875
114,47,1002,19900
